OBJECTID,ID,ST_ABBREV,ACSTOTPOP,D_PM25_2,B_PM25_D2,P_PM25_D2,D_OZONE_2,B_OZONE_D2,P_OZONE_D2,D_DSLPM_2,B_DSLPM_D2,P_DSLPM_D2,D_CANCR_2,B_CANCR_D2,P_CANCR_D2,D_RESP_2,B_RESP_D2,P_RESP_D2,D_PTRAF_2,B_PTRAF_D2,P_PTRAF_D2,D_LDPNT_2,B_LDPNT_D2,P_LDPNT_D2,D_PNPL_2,B_PNPL_D2,P_PNPL_D2,D_PRMP_2,B_PRMP_D2,P_PRMP_D2,D_PTSDF_2,B_PTSDF_D2,P_PTSDF_D2,D_PWDIS_2,B_PWDIS_D2,P_PWDIS_D2,PM25,B_PM25,P_PM25,OZONE,B_OZONE,P_OZONE,DSLPM,B_DSLPM,P_DSLPM,CANCER,B_CANCR,P_CANCR,RESP,B_RESP,P_RESP,PTRAF,B_PTRAF,P_PTRAF,PRE1960PCT,B_LDPNT,P_LDPNT,PNPL,B_PNPL,P_PNPL,PRMP,B_PRMP,P_PRMP,PTSDF,B_PTSDF,P_PTSDF,PWDIS,B_PWDIS,P_PWDIS,VULEOPCT,B_VULEOPCT,P_VULEOPCT,VULSVI6PCT,B_VSVI6PCT,P_VSVI6PCT,MINORPCT,B_MINORPCT,P_MINORPCT,LOWINCPCT,B_LWINCPCT,P_LWINCPCT,LINGISOPCT,B_LNGISPCT,P_LNGISPCT,LESSHSPCT,B_LESHSPCT,P_LESHSPCT,UNDER5PCT,B_UNDR5PCT,P_UNDR5PCT,OVER64PCT,B_OVR64PCT,P_OVR64PCT,Shape_Length,Shape_Area
4926,40131036073,AZ,1081,-2038.836257,2,19,-15693.97485,2,19,-176.424518,2,11,-11751.41957,2,18,-163.4958245,2,17,-9531.807321,4,36,-5.546610679,2,12,-15.4929442,2,19,-44.15393792,3,25,-51.4244506,3,21,0,9,80,7.145229508,5,46,55.00051895,11,95,0.618290786,6,56,41.18358676,6,52,0.572981369,5,49,33.40481644,2,18,0.019438445,6,53,0.054295994,5,45,0.154740244,4,35,0.180220212,5,43,0,7,60,0.092506938,1,3,0.071124769,1,2,0.11933395,2,10,0.065679926,1,4,0,4,36,0.027118644,2,16,0.021276596,2,16,0.1933395,8,73,6369.72289,1292025.978
4927,40131036074,AZ,1052,-1754.187586,3,23,-13502.88713,3,22,-151.7933077,2,14,-10110.76503,3,21,-140.6696318,3,21,-89261.21394,2,11,-24.80488127,1,3,-13.10808306,3,23,-33.36491073,3,29,-37.2742276,3,27,0,9,80,7.145229508,5,46,55.00051895,11,95,0.618290786,6,56,41.18358676,6,52,0.572981369,5,49,363.5824725,7,67,0.101036269,8,77,0.053392387,5,44,0.135903336,4,30,0.151826927,4,36,0,7,60,0.123098859,1,6,0.087961064,1,6,0.170152091,2,16,0.076045627,1,5,0.021978022,6,54,0.038107753,3,23,0.053231939,5,42,0.168250951,7,68,7210.36505,801756.1002
4928,40131036081,AZ,2553,-273.1458805,5,46,-2071.231317,5,46,-30.71578479,4,39,-1610.745694,5,45,-22.80759276,5,45,-39831.33853,3,21,0,7,63,-1.695041382,5,45,-6.593801033,5,44,-7.858154271,5,43,0,9,80,7.154490164,5,46,54.25161111,9,88,0.804536315,8,77,42.19014472,7,60,0.597397617,6,58,1043.299351,9,89,0,4,39,0.044398096,4,32,0.17271095,4,39,0.205828063,5,47,0,7,60,0.3415141,5,48,0.158080175,4,39,0.530356443,7,65,0.152671756,3,20,0,4,36,0.084489281,5,46,0.094790443,8,78,0.08617313,4,37,8828.702282,2977994.174
4929,40131036082,AZ,1301,-682.1623711,5,40,-5172.75261,4,39,-76.71048358,3,28,-4022.722584,4,38,-56.96033755,4,38,-495402.0386,1,1,-2.163475294,2,19,-4.176427467,4,39,-15.91972032,4,38,-19.42171338,4,37,0,9,80,7.154490164,5,46,54.25161111,9,88,0.804536315,8,77,42.19014472,7,60,0.597397617,6,58,5195.755678,11,99,0.022690438,6,56,0.043802195,4,32,0.166965355,4,38,0.20369411,5,47,0,7,60,0.283180553,4,37,0.154740369,4,38,0.139123751,2,12,0.427237354,7,62,0.049586777,8,70,0.118028534,6,57,0.084550346,8,70,0.10991545,5,49,3901.712325,584112.4849
4930,40131036091,AZ,1196,258.7886491,6,53,1934.63482,6,53,27.32289579,6,59,1502.028144,6,54,21.25075112,6,54,113394.1111,8,78,0.660441348,7,64,1.651624965,6,55,7.579305694,6,56,18.3271422,7,61,0,9,80,7.25633306,5,49,54.24640784,9,88,0.76612337,8,73,42.11628491,6,59,0.595862796,6,58,3179.526767,11,97,0.018518519,6,52,0.046310922,4,35,0.212520784,5,48,0.513885938,7,66,0,7,60,0.386287625,6,54,0.195046666,6,56,0.434782609,6,56,0.337792642,6,51,0.053811659,8,71,0.097237569,6,51,0.015886288,2,12,0.230769231,8,79,4562.248525,1074777.488
4931,40131036092,AZ,1055,-628.2107028,5,41,-4696.335424,5,41,-66.32646224,4,30,-3646.180616,5,40,-51.58630158,4,39,-205109.312,1,4,0,7,63,-3.921734202,4,39,-16.15787931,4,38,-25.4759785,4,33,0,9,80,7.25633306,5,49,54.24640784,9,88,0.76612337,8,73,42.11628491,6,59,0.595862796,6,58,2369.17562,11,96,0,4,39,0.045299148,4,34,0.186636352,5,43,0.294267806,6,56,0,7,60,0.274407583,4,36,0.132576391,3,27,0.229383886,3,25,0.31943128,5,48,0,4,36,0.026737968,2,16,0.079620853,7,66,0.14028436,7,61,5766.866505,1109602.813
4932,40131036093,AZ,1394,483.2642589,6,56,3612.754523,6,56,51.02302218,7,63,2804.900912,6,56,39.68384444,6,57,9470.21579,7,60,0,7,63,3.157532849,6,58,14.24463577,7,60,33.76830349,7,65,0,9,80,7.25633306,5,49,54.24640784,9,88,0.76612337,8,73,42.11628491,6,59,0.595862796,6,58,142.1976458,5,41,0,4,39,0.047411141,4,36,0.213886749,5,48,0.507039477,7,65,0,7,60,0.404243807,6,57,0.173894033,5,47,0.397417504,6,51,0.411070111,7,60,0.054135338,8,72,0.097527473,6,51,0.083213773,7,69,0,1,0,5103.683671,1142648.226
4933,40131036094,AZ,1336,2356.554109,8,72,17616.9691,8,73,248.8048937,8,78,13677.61147,8,74,193.5113655,8,74,423181.315,10,92,5.537899707,7,69,15.63215522,8,71,76.42997842,8,71,185.4051272,8,79,0,9,80,7.25633306,5,49,54.24640784,9,88,0.76612337,8,73,42.11628491,6,59,0.595862796,6,58,1303.065588,10,92,0.017052375,6,51,0.048134742,4,37,0.235344216,6,50,0.570901958,7,67,0,7,60,0.599550898,8,76,0.286181872,8,78,0.619760479,8,72,0.579341317,8,78,0.146036161,9,89,0.274647887,9,82,0.042664671,4,32,0.054640719,2,17,2458.925907,280917.9742
4934,40131036111,AZ,1742,-2329.358772,2,16,-17971.99288,2,15,-204.1935727,1,8,-13521.29646,2,14,-189.2200767,2,14,-261930.293,1,3,0,7,63,-15.61498974,2,19,-60.18129967,3,21,-59.17352845,2,19,0,9,80,7.113243169,5,45,54.88169412,10,94,0.623552951,6,56,41.29044905,6,54,0.57782787,6,51,799.8655636,9,86,0,4,39,0.047684032,4,36,0.183777709,5,42,0.180700243,5,43,0,7,60,0.168484501,2,14,0.097401922,2,10,0.196326062,3,20,0.140642939,2,17,0,4,36,0.002321981,1,4,0.052812859,5,41,0.192307692,8,73,5805.781257,1875750.573
4935,40131036112,AZ,1483,-2293.923594,2,16,-17698.59543,2,16,-201.0872949,1,8,-13315.60486,2,15,-186.3415819,2,14,-82862.62922,2,12,-4.518197091,2,14,-15.83037243,2,19,-53.46161283,3,22,-52.92897081,3,21,0,9,80,7.113243169,5,45,54.88169412,10,94,0.623552951,6,56,41.29044905,6,54,0.57782787,6,51,256.9492867,6,58,0.014010508,5,48,0.049088509,4,38,0.165779476,4,38,0.164127803,4,39,0,7,60,0.139012995,1,9,0.090481559,1,7,0.113958193,1,9,0.164067797,3,21,0,4,36,0.027506655,2,16,0.043830074,4,33,0.193526635,8,73,6025.781234,1523582.775
4936,40131036113,AZ,1889,-3331.406849,1,8,-25703.21966,1,7,-292.03396,1,2,-19337.91401,1,7,-270.6191364,1,6,-141922.3581,1,6,-5.563418332,2,12,-24.32096095,2,11,-76.0344911,2,17,-87.25511058,2,13,0,9,80,7.113243169,5,45,54.88169412,10,94,0.623552951,6,56,41.29044905,6,54,0.57782787,6,51,303.0336102,7,62,0.01187905,5,46,0.051930286,5,42,0.162349376,4,37,0.186307721,5,44,0,7,60,0.108538949,1,4,0.094055457,1,8,0.066701959,1,4,0.15037594,2,19,0.020571429,6,53,0.064110622,4,37,0.035997882,3,26,0.226574907,8,79,9618.475833,4146633.863
4937,40131036121,AZ,808,833.2627476,7,60,6396.222939,7,60,79.91182895,7,67,4851.072409,7,61,67.40026405,7,61,154772.8627,9,81,0,7,63,5.540944756,7,62,21.88384054,7,62,21.50356722,7,62,0,9,80,7.123513661,5,46,54.68092941,10,93,0.683161472,7,63,41.47152945,6,55,0.576200848,6,50,1323.143996,10,92,0,4,39,0.047369207,4,36,0.187083651,5,43,0.183832717,5,43,0,7,60,0.501237624,7,68,0.207714521,7,60,0.368811881,5,48,0.633663366,9,83,0,4,36,0,1,4,0.066831683,6,54,0.176980198,8,70,1594.22392,123730.1859
4938,40131036122,AZ,1060,-1539.379499,3,26,-11816.45824,3,26,-147.6300621,2,15,-8961.928798,3,25,-124.5160485,3,24,-69903.8578,2,14,-7.003187043,2,11,-10.44118718,3,27,-36.83020159,3,27,-38.34333225,3,26,0,9,80,7.123513661,5,46,54.68092941,10,93,0.683161472,7,63,41.47152945,6,55,0.576200848,6,50,323.4816927,7,64,0.032407407,7,61,0.048316831,4,37,0.170432596,4,39,0.177434643,5,42,0,7,60,0.152602006,2,11,0.090972849,1,7,0.125471698,2,11,0.179732314,3,25,0,4,36,0.007614213,1,5,0.066981132,6,54,0.166037736,7,68,3639.616279,853647.2228
4939,40131036123,AZ,1969,-2738.180454,2,12,-21018.59549,2,11,-262.5978525,1,4,-15941.08424,2,10,-221.483663,2,10,-81659.40832,2,12,0,7,63,-18.08827608,2,16,-68.01903494,2,19,-72.62870626,2,16,0,9,80,7.123513661,5,46,54.68092941,10,93,0.683161472,7,63,41.47152945,6,55,0.576200848,6,50,212.4410427,6,52,0,4,39,0.047057557,4,36,0.176954928,5,40,0.188947219,5,44,0,7,60,0.161249365,2,13,0.087747808,1,6,0.250380904,3,29,0.072117826,1,5,0.030095759,7,60,0.011881188,1,7,0.046724225,4,36,0.115286948,6,51,6990.797027,1671333.283
4940,40131036124,AZ,1752,-40.07344117,5,49,-307.6084517,5,49,-3.843135897,5,48,-233.2987588,5,49,-3.241427178,5,49,-2543.719158,5,43,-0.622750866,3,22,-0.266027706,5,49,-1.049893864,5,49,-1.032401165,5,49,0,9,80,7.123513661,5,46,54.68092941,10,93,0.683161472,7,63,41.47152945,6,55,0.576200848,6,50,452.1752472,8,73,0.110701107,8,78,0.047289475,4,36,0.186630673,5,43,0.183521145,5,43,0,7,60,0.353257456,5,49,0.158418756,4,39,0.331050228,5,42,0.375464684,6,56,0,4,36,0.115572968,6,56,0.105593607,9,85,0.02283105,1,4,3039.954863,254987.3583
